Team,Name,Pos,Age,Proj PA,Proj IP,Service Time,Options or R5 Status,Projected Opening Day Status,NameASCII,PlayerId,MLBAMID
COL,Gabriel Hughes,SP,24.5,,18,0.000,3,Rotation/Bullpen Candidate,,sa3020661,687312
COL,McCade Brown,SP,25.8,,15,0.036,3,Rotation Candidate,,30004,685326
COL,John Brebbia,RP,35.7,,10,8.004,n/a,Bullpen Candidate,,12777,605154
COL,Sean Sullivan,SP,23.6,,9,,Dec'26,Rotation/Bullpen Candidate,,sa3023162,807743
COL,Valente Bellozo,SP/RP,26.1,,8,1.050,1,Rotation/Bullpen Candidate,,23899,678368
COL,Parker Mushinski,RP,30.2,,,1.049,0,Bullpen Candidate,,21324,656786
COL,Eiberson Castellano,RP,24.8,,,0.000,R5,Bullpen Candidate,,sa3015414,682769
COL,Brayan Castillo,RP,25.4,,,,R5,Bullpen Candidate,,sa3006544,678899
COL,Adam Laskey,SP,27.9,,,,R5,Rotation/Bullpen Candidate,,sa3014851,669445
COL,Konner Eaton,SP,23.3,,,,Dec'27,Rotation/Bullpen Candidate,,sa3025350,820825
DET,Gleyber Torres,2B,29.2,665,,7.162,n/a,Lineup Regular,,16997,650402
DET,Spencer Torkelson,1B,26.5,651,,3.076,1,Lineup Regular,,27465,679529
DET,Riley Greene,LF,25.4,651,,3.110,3,Lineup Regular,,25976,682985
DET,Wenceel Pérez,RF,26.3,497,,2.000,2,Lineup Regular,,22857,672761
DET,Dillon Dingler,C,27.4,435,,1.063,2,Lineup Regular,,27464,693307
DET,Zach McKinstry,SS,30.8,434,,4.099,0,Lineup Regular,,19392,656716
DET,Parker Meadows,CF,26.3,525,,1.169,1,Platoon vs R,,23800,678009
DET,Kerry Carpenter,DH,28.5,497,,3.057,3,Platoon vs R,,25961,681481
DET,Colt Keith,3B,24.5,462,,2.000,3,Platoon vs R,,27899,690993
DET,Javier Báez,INF/OF,33.2,350,,10.089,n/a,Platoon vs L,,12979,595879
DET,Matt Vierling,OF/INF,29.4,224,,4.026,1,Platoon vs L,,21558,663837
DET,Jahmai Jones,OF,28.5,133,,1.148,0,Platoon vs L,,18872,663330
DET,Tarik Skubal,SP,29.2,,200,5.114,n/a,Starting Rotation,,22267,669373
DET,Framber Valdez,SP,32.2,,195,6.163,n/a,Starting Rotation,,17295,664285
DET,Jack Flaherty,SP,30.3,,160,8.006,n/a,Starting Rotation,,17479,656427
DET,Casey Mize,SP,28.8,,145,5.111,n/a,Starting Rotation,,20492,663554
DET,Justin Verlander,SP,43.0,,141,20.002,n/a,Starting Rotation,,8700,434378
DET,Jake Rogers,C,30.8,179,,5.040,n/a,Bench,,19452,668670
DET,Kenley Jansen,RP,38.4,,60,15.073,n/a,Closer,,3096,445276
DET,Will Vest,RP,30.7,,68,4.100,2,Setup Man,,19769,676684
DET,Kyle Finnegan,RP,34.4,,64,6.000,n/a,Setup Man,,15009,640448
DET,Tyler Holton,RP,29.7,,72,3.047,2,Middle Reliever,,26231,663947
DET,Brenan Hanifee,RP,27.7,,58,1.069,2,Middle Reliever,,22304,669724
DET,Brant Hurter,RP,27.4,,55,1.042,2,Middle Reliever,,30133,676428
DET,Beau Brieske,RP,27.9,,50,3.056,1,Middle Reliever,,26079,689225
DET,Drew Anderson,RP,31.9,,61,0.114,0,Long Reliever,,15130,623454
DET,Reese Olson,SP,26.5,,,2.123,2,60-Day IL,,24968,681857
DET,Jackson Jobe,SP,23.5,,,1.006,3,60-Day IL,,30203,695549
DET,Kevin McGonigle,INF,21.5,322,,,Dec'27,Lineup Candidate,,sa3022895,805808
DET,Trey Sweeney,INF,25.8,70,,1.045,3,Lineup/Bench Candidate,,29575,700242
DET,Jace Jung,INF,25.4,35,,0.079,2,Lineup/Bench Candidate,,31437,690291
DET,Austin Slater,OF,33.2,35,,7.147,n/a,Bench Candidate,,16153,596103
DET,Eduardo Valencia,C/1B,26.1,20,,0.000,3,Bench Candidate,,sa3006622,680664
DET,Trei Cruz,INF/OF,27.6,14,,0.000,3,Lineup/Bench Candidate,,sa3014420,669360
DET,Hao-Yu  Lee,INF,23.0,14,,0.000,3,Lineup/Bench Candidate,,sa3017863,701678
DET,Max Anderson,INF,24.0,14,,,Dec'26,Lineup/Bench Candidate,,sa3022567,801194
DET,Tomás Nido,C,31.8,13,,5.167,n/a,Bench Candidate,,13755,621512
DET,Thayron Liranzo,C,22.6,,,0.000,3,Bench Candidate,,sa3015790,699073
DET,Corey Julks,OF,30.0,,,1.123,1,Bench Candidate,,20311,667452
DET,Josue Briceño,C/1B,21.4,,,,Dec'26,Bench Candidate,,sa3018584,800522
